Scale,Method,SP,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
"Local, National, Worldwide",TES,Area,7.90308998699194,8.2148438480477,7.49276038902684,7.78958071216443,8,7.56466606425209,6.84757265914211,6.31597034545692,4.70500795933334,7.9712758487381,7.987219229908,7.54406804435028,7.3802112417116,7.30749603791321,7.29003461136252,7.42160392686983,7.53781909507327,7.85913829729453,7.57863920996807,7.04532297878666,7.01283722470517,7.77232170672292,7.55870857053317,7.9604707775343,7.55144999797288,7.72509452108147,7.32014628611105,7.50242711998443,7,6.90687353472207,7.61489721603313,7.63144376901317,7.9604707775343,7.26245108973043,7.47567118832443,7.59439255037543,7.77451696572855,7.66931688056611,6.17026171539496,7.76042248342321,7.29666519026153,7.59988307207369,8.24797326636181,7.45178643552429,6.98091193777684,7.74115159885178,7.69019608002851,7.49554433754645,7.62117628177503,7.5092025223311
,PB,Area,7.29666519026153,8.39794000867204,7.63245729218472,7.30319605742049,7.79028516403324,7.59439255037543,6.32221929473392,5.97266559226611,4.41161970596323,7.39445168082622,7.35024801833416,7.49692964807321,7.3384564936046,7.13672056715641,7.32837960343874,7.49136169383427,7.1846914308176,7.29666519026153,7.12385164096708,6.66931688056611,6.59879050676311,7.56110138364906,7.51587384371168,7.26007138798508,7.42160392686983,7.74429298312268,7.46389298898591,7.61909333062674,6.54654266347813,6.51719589794997,7.66181268553726,7.31175386105575,7.30535136944662,7.42488163663107,7.22788670461367,7.42160392686983,7.56937390961505,7.23804610312879,5.76492298464989,7.08278537031645,7.46389298898591,7.20139712432045,8.00432137378264,7.50514997831991,6.55990662503611,7.20951501454263,7.42975228000241,6.96094619573383,7.39445168082622,7.56584781867352
"Local, National",TES,Population,7.84695532501982,6.61804809671209,6.90254677931399,7.70329137811866,7.92737036303902,7.17609125905568,6.89652621748956,6.31386722036915,5.66651798055488,7.95760728706009,7.94987770403688,7.20139712432045,7.25042000230889,7.19312459835446,6.89376176205794,6.92064500140679,7.43775056282039,7.79588001734407,7.48000694295715,7.07188200730612,7.07918124604762,7.6232492903979,7.26951294421792,7.9106244048892,7.35024801833416,7.25767857486918,6.53907609879278,6.84073323461181,6.9329808219232,7.05690485133647,7.11727129565576,7.61804809671209,7.92788341033071,6.21748394421391,7.41995574848976,7.39445168082622,7.58319877396862,7.63748972951251,6.24551266781415,7.72427586960079,6.22788670461367,7.52762990087134,8.11058971029925,6.98766626492627,6.88252453795488,7.69810054562339,7.55990662503611,7.42324587393681,7.46982201597816,6.95375969173323
"Local, Worldwide",TES,Population,7.8668778143375,6.66651798055488,7.10720996964787,7.72098574415374,8.04532297878666,7.27415784926368,7.01283722470517,6.4329692908744,5.97081161087252,8.02118929906994,7.98317507203781,7.23044892137827,7.41995574848976,7.30319605742049,6.99738638439731,7.01283722470517,7.48287358360875,7.81690383937566,7.49276038902684,7.20139712432045,7.22010808804005,7.68752896121463,7.35024801833416,7.92116605063774,7.42488163663107,7.27646180417324,6.67760695272049,6.95279244304409,6.97634997900327,7.2405492482826,7.16136800223498,7.73719264270474,7.96189547366785,6.33445375115093,7.5327543789925,7.43933269383026,7.61384182187607,7.7160033436348,6.39269695325967,7.75127910398334,6.35793484700045,7.58319877396862,8.17318626841227,7.07188200730612,6.90579588036787,7.74507479158206,7.6159500516564,7.44247976906445,7.52374646681156,6.97220283837906
"Local, National, Worldwide",TES,Population,7.8842287696326,6.70671778233676,7.23552844690755,7.73559889969818,8.13033376849501,7.34830486304816,7.09691001300806,6.51851393987789,6.13353890837022,8.07188200730612,8.01283722470517,7.25767857486918,7.5327543789925,7.38381536598043,7.07554696139253,7.08278537031645,7.52113808370404,7.83505610172012,7.50379068305718,7.29225607135647,7.31806333496276,7.73878055848437,7.41161970596323,7.9304395947667,7.4814426285023,7.29003461136252,6.77378644498119,7.03342375548695,7.01283722470517,7.35793484700045,7.19865708695442,7.8228216453031,7.9912260756925,6.41995574848976,7.6159500516564,7.47567118832443,7.63948648926859,7.77742682238931,6.49415459401844,7.77451696572855,6.45024910831936,7.62736585659273,8.22010808804006,7.13987908640124,6.92582757462474,7.78390357927273,7.66181268553726,7.45939248775923,7.56702636615906,6.98855895687862
,PB,Population,7.10380372095596,6.28103336724773,7.26951294421792,6.8926510338773,8.01283722470517,7.17026171539496,6.96661098668193,6.39794000867204,6.26007138798507,7.74036268949424,7.4345689040342,6.6570558528571,7.51851393987789,7.2405492482826,6.91222205653242,6.87794695162919,7.06445798922692,7.08278537031645,6.54157924394658,7.19589965240923,7.25285303097989,7.41329976408125,7.16435285578444,6.88817949391832,7.20139712432045,6.43933269383026,6.69983772586725,6.89542254603941,6.54406804435028,7.36361197989214,6.73399928653839,7.7041505168398,7.43136376415899,6.29446622616159,7.48287358360875,7.00860017176192,7.03342375548695,7.52113808370404,6.43933269383026,7.12057393120585,6.35793484700045,7.24551266781415,7.87040390527903,6.91222205653242,6.20951501454263,7.34439227368511,7.29003461136252,6.66931688056611,7.17897694729317,6.17609125905568
"Local, National",TES,GDP,7.84135947045485,6.63144376901317,6.82736927305383,7.69810054562339,7.93651374247889,7.17318626841227,6.91907809237607,6.33041377334919,6.12057393120585,7.94001815500766,7.94497590841205,7.19033169817029,7.25527250510331,7.17318626841227,6.88761730033574,6.91381385238372,7.42651126136458,7.79239168949825,7.47712125471966,7.07918124604762,7.11058971029925,7.60959440922522,7.2718416065365,7.90687353472207,7.33645973384853,7.25527250510331,6.54282542695918,6.81822589361396,6.93094903116752,7.06818586174616,7.10720996964787,7.64933485871214,7.9216864754836,6.24551266781415,7.40312052117582,7.38916608436453,7.57749179983722,7.63346845557959,6.22530928172586,7.7160033436348,6.2148438480477,7.51719589794997,8.11058971029925,6.97173959088778,6.87852179550121,7.6954816764902,7.56348108539441,7.41664050733828,7.46239799789896,6.9566485792052
"Local, Worldwide",TES,GDP,7.96331551138611,7.02938377768521,7.61172330800734,7.80071707828239,8.5705429398819,7.71933128698373,7.56584781867352,6.9795483747041,7.18752072083646,8.28103336724773,8.17026171539496,7.3654879848909,8.02530586526477,7.72015930340596,7.44247976906445,7.41995574848976,7.68394713075151,7.9484129657786,7.56229286445647,7.73479982958885,7.83695673705955,7.97220283837906,7.75358305889291,7.96614173273903,7.73639650227664,7.3654879848909,7.22530928172586,7.36172783601759,7.23552844690755,7.87215627274829,7.3654879848909,8.32014628611105,8.14612803567824,6.90200289135073,7.97266559226611,7.6730209071289,7.78604121024255,8.09342168516223,6.89707700320942,7.8767949762007,6.8488047010518,7.84073323461181,8.5051499783199,7.42813479402879,7.04139268515823,8.01703333929878,7.95712819767681,7.53655844257153,7.80140371001736,7.13033376849501
"Local, National, Worldwide",TES,GDP,7.9731278535997,7.04921802267018,7.64345267648619,7.80888586735981,8.59988307207369,7.74663419893758,7.59549622182557,7.00860017176192,7.22271647114758,8.30102999566398,8.1846914308176,7.37839790094814,8.05690485133647,7.74741180788642,7.46982201597816,7.4456042032736,7.70070371714502,7.9604707775343,7.56937390961505,7.76417613239033,7.86746748785905,7.99431715266964,7.77959649125782,7.9712758487381,7.75891189239797,7.3747483460101,7.25527250510331,7.38916608436453,7.25527250510331,7.90417436828416,7.38381536598043,8.35024801833416,8.16136800223497,6.93196611472817,8,7.69196510276736,7.80071707828239,8.11727129565576,6.92685670894969,7.88874096068289,6.87794695162919,7.86093662070009,8.52762990087134,7.45178643552429,7.05307844348342,8.03742649794062,7.9804578922761,7.54530711646582,7.82216807936802,7.14301480025409
,PB,GDP,7.69722934275972,7.14921911265538,7.87737134586977,7.46686762035411,8.79934054945358,7.91750550955255,7.79934054945358,7.21218760440396,7.49276038902684,8.35983548233989,8.11727129565576,7.23044892137827,8.28780172993023,7.91855453055027,7.64443858946784,7.60097289568675,7.67851837904011,7.77158748088125,7.15836249209525,7.9698816437465,8.0899051114394,8.06818586174616,7.92427928606188,7.41830129131975,7.85913829729453,7.06069784035361,7.46686762035411,7.55990662503611,7.28103336724773,8.1430148002541,7.36361197989214,8.55990662503611,8.09691001300806,7.13672056715641,8.17897694729317,7.69897000433602,7.71011736511182,8.25042000230889,7.13672056715641,7.71011736511182,7.07554696139253,7.90471554527868,8.6232492903979,7.58433122436753,6.8819549713396,8.07554696139253,8.07554696139253,7.25767857486918,7.87909587950007,6.99563519459755
